Country Name,Indicator Name,Year Of Birth,Value
Afghanistan,New products value added,1987,
Afghanistan,Domestic credit provided,1987,
Afghanistan,Exports of goods and services,1987,
Afghanistan,Parents rate,1987,7.461
Afghanistan,Imports of goods and services,1987,
Afghanistan,"Industry, value added",1987,
Afghanistan,Customers local visits (per year),1987,47.29634146
Afghanistan,Customers density,1987,17.36655945
Afghanistan,"Services, etc., value added",1987,
Afghanistan,New products value added,1992,
Afghanistan,Domestic credit provided,1992,
Afghanistan,Exports of goods and services,1992,
Afghanistan,Parents rate,1992,7.502
Afghanistan,Imports of goods and services,1992,
Afghanistan,"Industry, value added",1992,
Afghanistan,Customers local visits (per year),1992,51.36292683
Afghanistan,Customers density,1992,21.05448335
Afghanistan,"Services, etc., value added",1992,
Afghanistan,New products value added,1997,
Afghanistan,Domestic credit provided,1997,
Afghanistan,Exports of goods and services,1997,
Afghanistan,Parents rate,1997,7.636
Afghanistan,Imports of goods and services,1997,
Afghanistan,"Industry, value added",1997,
Afghanistan,Customers local visits (per year),1997,54.01782927
Afghanistan,Customers density,1997,27.62327298
Afghanistan,"Services, etc., value added",1997,
Afghanistan,New products value added,2002,38.47194003
Afghanistan,Domestic credit provided,2002,
Afghanistan,Exports of goods and services,2002,32.38671874
Afghanistan,Parents rate,2002,7.273
Afghanistan,Imports of goods and services,2002,65.28770401
Afghanistan,"Industry, value added",2002,23.71409715
Afghanistan,Customers local visits (per year),2002,55.85719512
Afghanistan,Customers density,2002,32.9122308
Afghanistan,"Services, etc., value added",2002,37.81396282
Afghanistan,New products value added,2007,30.62285367
Afghanistan,Domestic credit provided,2007,0.53518055
Afghanistan,Exports of goods and services,2007,17.82371427
Afghanistan,Parents rate,2007,6.437
Afghanistan,Imports of goods and services,2007,58.35004683
Afghanistan,"Industry, value added",2007,27.34470326
Afghanistan,Customers local visits (per year),2007,57.83382927
Afghanistan,Customers density,2007,39.63720246
Afghanistan,"Services, etc., value added",2007,42.03244307
Albania,New products value added,1962,
Albania,Domestic credit provided,1962,
Albania,Exports of goods and services,1962,
Albania,Parents rate,1962,6.282
Albania,Imports of goods and services,1962,
Albania,"Industry, value added",1962,
Albania,Customers local visits (per year),1962,64.16285366
Albania,Customers density,1962,62.45689781
Albania,"Services, etc., value added",1962,
Albania,New products value added,1967,
Albania,Domestic credit provided,1967,
Albania,Exports of goods and services,1967,
Albania,Parents rate,1967,5.394
Albania,Imports of goods and services,1967,
Albania,"Industry, value added",1967,
Albania,Customers local visits (per year),1967,66.28721951
Albania,Customers density,1967,71.73715328
Albania,"Services, etc., value added",1967,
Albania,New products value added,1972,
Albania,Domestic credit provided,1972,
Albania,Exports of goods and services,1972,
Albania,Parents rate,1972,4.642
Albania,Imports of goods and services,1972,
Albania,"Industry, value added",1972,
Albania,Customers local visits (per year),1972,67.58595122
Albania,Customers density,1972,81.86591241
Albania,"Services, etc., value added",1972,
Albania,New products value added,1977,
Albania,Domestic credit provided,1977,
Albania,Exports of goods and services,1977,
Albania,Parents rate,1977,3.966
Albania,Imports of goods and services,1977,
Albania,"Industry, value added",1977,
Albania,Customers local visits (per year),1977,69.45617073
Albania,Customers density,1977,91.73525547
Albania,"Services, etc., value added",1977,
Albania,New products value added,1982,31.69971047
Albania,Domestic credit provided,1982,
Albania,Exports of goods and services,1982,19.3750006
Albania,Parents rate,1982,3.452
Albania,Imports of goods and services,1982,23.87753808
Albania,"Industry, value added",1982,43.80017045
Albania,Customers local visits (per year),1982,70.68512195
Albania,Customers density,1982,101.6159854
Albania,"Services, etc., value added",1982,24.50011908
Albania,New products value added,1987,33.20002472
Albania,Domestic credit provided,1987,
Albania,Exports of goods and services,1987,15.46629701
Albania,Parents rate,1987,3.164
Albania,Imports of goods and services,1987,15.56251101
Albania,"Industry, value added",1987,45.80015166
Albania,Customers local visits (per year),1987,71.86195122
Albania,Customers density,1987,112.5403285
Albania,"Services, etc., value added",1987,20.99982361
Albania,New products value added,1992,51.64187027
Albania,Domestic credit provided,1992,
Albania,Exports of goods and services,1992,11.49043805
Albania,Parents rate,1992,2.829
Albania,Imports of goods and services,1992,88.51224849
Albania,"Industry, value added",1992,23.32055881
Albania,Customers local visits (per year),1992,71.90080488
Albania,Customers density,1992,118.505073
Albania,"Services, etc., value added",1992,25.03757092
Albania,New products value added,1997,32.70015992
Albania,Domestic credit provided,1997,54.04592622
Albania,Exports of goods and services,1997,9.745654305
Albania,Parents rate,1997,2.423
Albania,Imports of goods and services,1997,34.18999543
Albania,"Industry, value added",1997,15.37765137
Albania,Customers local visits (per year),1997,72.89809756
Albania,Customers density,1997,114.9007664
Albania,"Services, etc., value added",1997,51.92218871
Albania,New products value added,2002,24.23593287
Albania,Domestic credit provided,2002,47.1939125
Albania,Exports of goods and services,2002,19.59887427
Albania,Parents rate,2002,1.975
Albania,Imports of goods and services,2002,44.33536647
Albania,"Industry, value added",2002,19.59607192
Albania,Customers local visits (per year),2002,75.15460976
Albania,Customers density,2002,111.3507299
Albania,"Services, etc., value added",2002,56.16799521
Albania,New products value added,2007,19.87479759
Albania,Domestic credit provided,2007,62.07675464
Albania,Exports of goods and services,2007,28.08422195
Albania,Parents rate,2007,1.635
Albania,Imports of goods and services,2007,54.78820068
Albania,"Industry, value added",2007,25.33435489
Albania,Customers local visits (per year),2007,76.47029268
Albania,Customers density,2007,108.394781
Albania,"Services, etc., value added",2007,54.79084751
Algeria,New products value added,1962,
Algeria,Domestic credit provided,1962,
Algeria,Exports of goods and services,1962,19.79387268
Algeria,Parents rate,1962,7.614
Algeria,Imports of goods and services,1962,20.81864668
Algeria,"Industry, value added",1962,
Algeria,Customers local visits (per year),1962,47.045
Algeria,Customers density,1962,4.908240194
Algeria,"Services, etc., value added",1962,
Algeria,New products value added,1967,10.33066567
Algeria,Domestic credit provided,1967,27.97708833
Algeria,Exports of goods and services,1967,23.43441677
Algeria,Parents rate,1967,7.672
Algeria,Imports of goods and services,1967,21.63176933
Algeria,"Industry, value added",1967,42.38588936
Algeria,Customers local visits (per year),1967,49.1875122
Algeria,Customers density,1967,5.606907975
Algeria,"Services, etc., value added",1967,47.28344976
Algeria,New products value added,1972,8.420845701
Algeria,Domestic credit provided,1972,55.74814462
Algeria,Exports of goods and services,1972,20.44956198
Algeria,Parents rate,1972,7.597
Algeria,Imports of goods and services,1972,25.7268683
Algeria,"Industry, value added",1972,48.12796454
Algeria,Customers local visits (per year),1972,51.17180488
Algeria,Customers density,1972,6.456244174
Algeria,"Services, etc., value added",1972,43.45119069
Algeria,New products value added,1977,8.4701407
Algeria,Domestic credit provided,1977,58.31225606
Algeria,Exports of goods and services,1977,30.58656693
Algeria,Parents rate,1977,7.234
Algeria,Imports of goods and services,1977,41.7403173
Algeria,"Industry, value added",1977,55.23090163
Algeria,Customers local visits (per year),1977,54.57826829
Algeria,Customers density,1977,7.427420289
Algeria,"Services, etc., value added",1977,36.29896216
Algeria,New products value added,1982,8.389786536
Algeria,Domestic credit provided,1982,70.87235313
Algeria,Exports of goods and services,1982,30.92485632
Algeria,Parents rate,1982,6.43
Algeria,Imports of goods and services,1982,28.99807495
Algeria,"Industry, value added",1982,56.12298449
Algeria,Customers local visits (per year),1982,60.78634146
Algeria,Customers density,1982,8.63893666
Algeria,"Services, etc., value added",1982,35.48723533
Algeria,New products value added,1987,12.87465982
Algeria,Domestic credit provided,1987,95.22582676
Algeria,Exports of goods and services,1987,14.27247473
Algeria,Parents rate,1987,5.412
Algeria,Imports of goods and services,1987,18.41210974
Algeria,"Industry, value added",1987,46.42370653
Algeria,Customers local visits (per year),1987,65.48714634
Algeria,Customers density,1987,10.04219142
Algeria,"Services, etc., value added",1987,40.70163365
Algeria,New products value added,1992,12.12684642
Algeria,Domestic credit provided,1992,55.44876826
Algeria,Exports of goods and services,1992,25.31959428
Algeria,Parents rate,1992,4.223
Algeria,Imports of goods and services,1992,23.86948996
Algeria,"Industry, value added",1992,49.71593621
Algeria,Customers local visits (per year),1992,67.20968293
Algeria,Customers density,1992,11.41221166
Algeria,"Services, etc., value added",1992,38.15721315
Algeria,New products value added,1997,9.482320158
Algeria,Domestic credit provided,1997,38.59121769
Algeria,Exports of goods and services,1997,30.90631138
Algeria,Parents rate,1997,2.988
Algeria,Imports of goods and services,1997,21.33760013
Algeria,"Industry, value added",1997,52.30708732
Algeria,Customers local visits (per year),1997,68.92121951
Algeria,Customers density,1997,12.54869003
Algeria,"Services, etc., value added",1997,38.2105874
Algeria,New products value added,2002,9.765767743
Algeria,Domestic credit provided,2002,37.80278881
Algeria,Exports of goods and services,2002,35.50453435
Algeria,Parents rate,2002,2.404
Algeria,Imports of goods and services,2002,25.62963304
Algeria,"Industry, value added",2002,52.06833115
Algeria,Customers local visits (per year),2002,71.01485366
Algeria,Customers density,2002,13.43151939
Algeria,"Services, etc., value added",2002,38.1659011
Algeria,New products value added,2007,7.6884525
Algeria,Domestic credit provided,2007,-3.636038353
Algeria,Exports of goods and services,2007,47.06816283
Algeria,Parents rate,2007,2.661
Algeria,Imports of goods and services,2007,24.86996314
Algeria,"Industry, value added",2007,58.57163983
Algeria,Customers local visits (per year),2007,72.89836585
Algeria,Customers density,2007,14.38526917
Algeria,"Services, etc., value added",2007,33.73990767
American Samoa,New products value added,1962,
American Samoa,Domestic credit provided,1962,
American Samoa,Exports of goods and services,1962,
American Samoa,Parents rate,1962,
American Samoa,Imports of goods and services,1962,
American Samoa,"Industry, value added",1962,
American Samoa,Customers local visits (per year),1962,
American Samoa,Customers density,1962,105.59
American Samoa,"Services, etc., value added",1962,
American Samoa,New products value added,1967,
American Samoa,Domestic credit provided,1967,
American Samoa,Exports of goods and services,1967,
American Samoa,Parents rate,1967,
American Samoa,Imports of goods and services,1967,
American Samoa,"Industry, value added",1967,
American Samoa,Customers local visits (per year),1967,
American Samoa,Customers density,1967,125.58
American Samoa,"Services, etc., value added",1967,
American Samoa,New products value added,1972,
American Samoa,Domestic credit provided,1972,
American Samoa,Exports of goods and services,1972,
American Samoa,Parents rate,1972,
American Samoa,Imports of goods and services,1972,
American Samoa,"Industry, value added",1972,
American Samoa,Customers local visits (per year),1972,
American Samoa,Customers density,1972,142.45
American Samoa,"Services, etc., value added",1972,
American Samoa,New products value added,1977,
American Samoa,Domestic credit provided,1977,
American Samoa,Exports of goods and services,1977,
American Samoa,Parents rate,1977,
American Samoa,Imports of goods and services,1977,
American Samoa,"Industry, value added",1977,
American Samoa,Customers local visits (per year),1977,
American Samoa,Customers density,1977,153.45
American Samoa,"Services, etc., value added",1977,
American Samoa,New products value added,1982,
American Samoa,Domestic credit provided,1982,
American Samoa,Exports of goods and services,1982,
American Samoa,Parents rate,1982,
American Samoa,Imports of goods and services,1982,
American Samoa,"Industry, value added",1982,
American Samoa,Customers local visits (per year),1982,
American Samoa,Customers density,1982,173.7
American Samoa,"Services, etc., value added",1982,
American Samoa,New products value added,1987,
American Samoa,Domestic credit provided,1987,
American Samoa,Exports of goods and services,1987,
American Samoa,Parents rate,1987,
American Samoa,Imports of goods and services,1987,
American Samoa,"Industry, value added",1987,
American Samoa,Customers local visits (per year),1987,
American Samoa,Customers density,1987,212.24
American Samoa,"Services, etc., value added",1987,
American Samoa,New products value added,1992,
American Samoa,Domestic credit provided,1992,
American Samoa,Exports of goods and services,1992,
American Samoa,Parents rate,1992,
American Samoa,Imports of goods and services,1992,
American Samoa,"Industry, value added",1992,
American Samoa,Customers local visits (per year),1992,
American Samoa,Customers density,1992,247.985
American Samoa,"Services, etc., value added",1992,
American Samoa,New products value added,1997,
American Samoa,Domestic credit provided,1997,
American Samoa,Exports of goods and services,1997,
American Samoa,Parents rate,1997,
American Samoa,Imports of goods and services,1997,
American Samoa,"Industry, value added",1997,
American Samoa,Customers local visits (per year),1997,
American Samoa,Customers density,1997,274.71
American Samoa,"Services, etc., value added",1997,
American Samoa,New products value added,2002,
American Samoa,Domestic credit provided,2002,
American Samoa,Exports of goods and services,2002,
American Samoa,Parents rate,2002,
American Samoa,Imports of goods and services,2002,
American Samoa,"Industry, value added",2002,
American Samoa,Customers local visits (per year),2002,
American Samoa,Customers density,2002,293.645
American Samoa,"Services, etc., value added",2002,
American Samoa,New products value added,2007,
American Samoa,Domestic credit provided,2007,
American Samoa,Exports of goods and services,2007,
American Samoa,Parents rate,2007,
American Samoa,Imports of goods and services,2007,
American Samoa,"Industry, value added",2007,
American Samoa,Customers local visits (per year),2007,
American Samoa,Customers density,2007,289.52
American Samoa,"Services, etc., value added",2007,
Andorra,New products value added,1962,
Andorra,Domestic credit provided,1962,
Andorra,Exports of goods and services,1962,
Andorra,Parents rate,1962,
Andorra,Imports of goods and services,1962,
Andorra,"Industry, value added",1962,
Andorra,Customers local visits (per year),1962,
Andorra,Customers density,1962,32.71489362
Andorra,"Services, etc., value added",1962,
Andorra,New products value added,1967,
Andorra,Domestic credit provided,1967,
Andorra,Exports of goods and services,1967,
Andorra,Parents rate,1967,
Andorra,Imports of goods and services,1967,
Andorra,"Industry, value added",1967,
Andorra,Customers local visits (per year),1967,
Andorra,Customers density,1967,44.15957447
Andorra,"Services, etc., value added",1967,
Andorra,New products value added,1972,
Andorra,Domestic credit provided,1972,
Andorra,Exports of goods and services,1972,
Andorra,Parents rate,1972,
Andorra,Imports of goods and services,1972,
Andorra,"Industry, value added",1972,
Andorra,Customers local visits (per year),1972,
Andorra,Customers density,1972,57.21702128
Andorra,"Services, etc., value added",1972,
Andorra,New products value added,1977,
Andorra,Domestic credit provided,1977,
Andorra,Exports of goods and services,1977,
Andorra,Parents rate,1977,
Andorra,Imports of goods and services,1977,
Andorra,"Industry, value added",1977,
Andorra,Customers local visits (per year),1977,
Andorra,Customers density,1977,69.7212766
Andorra,"Services, etc., value added",1977,
Andorra,New products value added,1982,
Andorra,Domestic credit provided,1982,
Andorra,Exports of goods and services,1982,
Andorra,Parents rate,1982,
Andorra,Imports of goods and services,1982,
Andorra,"Industry, value added",1982,
Andorra,Customers local visits (per year),1982,
Andorra,Customers density,1982,83.21702128
Andorra,"Services, etc., value added",1982,
Andorra,New products value added,1987,
Andorra,Domestic credit provided,1987,
Andorra,Exports of goods and services,1987,
Andorra,Parents rate,1987,
Andorra,Imports of goods and services,1987,
Andorra,"Industry, value added",1987,
Andorra,Customers local visits (per year),1987,
Andorra,Customers density,1987,103.1021277
Andorra,"Services, etc., value added",1987,
Andorra,New products value added,1992,
Andorra,Domestic credit provided,1992,
Andorra,Exports of goods and services,1992,
Andorra,Parents rate,1992,
Andorra,Imports of goods and services,1992,
Andorra,"Industry, value added",1992,
Andorra,Customers local visits (per year),1992,
Andorra,Customers density,1992,125.3276596
Andorra,"Services, etc., value added",1992,
Andorra,New products value added,1997,
Andorra,Domestic credit provided,1997,
Andorra,Exports of goods and services,1997,
Andorra,Parents rate,1997,
Andorra,Imports of goods and services,1997,
Andorra,"Industry, value added",1997,
Andorra,Customers local visits (per year),1997,
Andorra,Customers density,1997,136.4829787
Andorra,"Services, etc., value added",1997,
Andorra,New products value added,2002,0.38739726
Andorra,Domestic credit provided,2002,
Andorra,Exports of goods and services,2002,
Andorra,Parents rate,2002,
Andorra,Imports of goods and services,2002,
Andorra,"Industry, value added",2002,14.93315068
Andorra,Customers local visits (per year),2002,
Andorra,Customers density,2002,151.1617021
Andorra,"Services, etc., value added",2002,75.60493151
Andorra,New products value added,2007,0.375712779
Andorra,Domestic credit provided,2007,
Andorra,Exports of goods and services,2007,
Andorra,Parents rate,2007,1.18
Andorra,Imports of goods and services,2007,
Andorra,"Industry, value added",2007,15.87104964
Andorra,Customers local visits (per year),2007,
Andorra,Customers density,2007,180.5914894
Andorra,"Services, etc., value added",2007,75.21387646
Angola,New products value added,1962,
Angola,Domestic credit provided,1962,
Angola,Exports of goods and services,1962,
Angola,Parents rate,1962,7.396
Angola,Imports of goods and services,1962,
Angola,"Industry, value added",1962,
Angola,Customers local visits (per year),1962,33.78758537
Angola,Customers density,1962,4.384298548
Angola,"Services, etc., value added",1962,
Angola,New products value added,1967,
Angola,Domestic credit provided,1967,
Angola,Exports of goods and services,1967,
Angola,Parents rate,1967,7.401
Angola,Imports of goods and services,1967,
Angola,"Industry, value added",1967,
Angola,Customers local visits (per year),1967,35.79997561
Angola,Customers density,1967,4.782891634
Angola,"Services, etc., value added",1967,
Angola,New products value added,1972,
Angola,Domestic credit provided,1972,
Angola,Exports of goods and services,1972,
Angola,Parents rate,1972,7.36
Angola,Imports of goods and services,1972,
Angola,"Industry, value added",1972,
Angola,Customers local visits (per year),1972,37.82692683
Angola,Customers density,1972,5.284067538
Angola,"Services, etc., value added",1972,
Angola,New products value added,1977,
Angola,Domestic credit provided,1977,
Angola,Exports of goods and services,1977,
Angola,Parents rate,1977,7.347
Angola,Imports of goods and services,1977,
Angola,"Industry, value added",1977,
Angola,Customers local visits (per year),1977,39.58136585
Angola,Customers density,1977,6.016940724
Angola,"Services, etc., value added",1977,
Angola,New products value added,1982,
Angola,Domestic credit provided,1982,
Angola,Exports of goods and services,1982,
Angola,Parents rate,1982,7.309
Angola,Imports of goods and services,1982,
Angola,"Industry, value added",1982,
Angola,Customers local visits (per year),1982,40.408
Angola,Customers density,1982,7.064659501
Angola,"Services, etc., value added",1982,
Angola,New products value added,1987,14.20100021
Angola,Domestic credit provided,1987,
Angola,Exports of goods and services,1987,50
Angola,Parents rate,1987,7.256
Angola,Imports of goods and services,1987,50
Angola,"Industry, value added",1987,50
Angola,Customers local visits (per year),1987,40.97387805
Angola,Customers density,1987,8.250350525
Angola,"Services, etc., value added",1987,50
Angola,New products value added,1992,11.53846154
Angola,Domestic credit provided,1992,
Angola,Exports of goods and services,1992,69.23076923
Angola,Parents rate,1992,7.164
Angola,Imports of goods and services,1992,73.07692308
Angola,"Industry, value added",1992,53.84615385
Angola,Customers local visits (per year),1992,41.31302439
Angola,Customers density,1992,9.504268068
Angola,"Services, etc., value added",1992,38.46153846
Angola,New products value added,1997,9.002017942
Angola,Domestic credit provided,1997,10.02726789
Angola,Exports of goods and services,1997,68.49193822
Angola,Parents rate,1997,7.017
Angola,Imports of goods and services,1997,69.18180599
Angola,"Industry, value added",1997,60.75774139
Angola,Customers local visits (per year),1997,43.06212195
Angola,Customers density,1997,11.0707211
Angola,"Services, etc., value added",1997,30.24024067
Angola,New products value added,2002,
Angola,Domestic credit provided,2002,5.004124598
Angola,Exports of goods and services,2002,68.29095682
Angola,Parents rate,2002,6.829
Angola,Imports of goods and services,2002,56.66897054
Angola,"Industry, value added",2002,
Angola,Customers local visits (per year),2002,46.71173171
Angola,Customers density,2002,12.92187054
Angola,"Services, etc., value added",2002,
Angola,New products value added,2007,
Angola,Domestic credit provided,2007,1.873597987
Angola,Exports of goods and services,2007,73.95818798
Angola,Parents rate,2007,6.619
Angola,Imports of goods and services,2007,43.5156264
Angola,"Industry, value added",2007,
Angola,Customers local visits (per year),2007,49.43573171
Angola,Customers density,2007,15.38774926
Angola,"Services, etc., value added",2007,
Antigua and Barbuda,New products value added,1962,
Antigua and Barbuda,Domestic credit provided,1962,
Antigua and Barbuda,Exports of goods and services,1962,
Antigua and Barbuda,Parents rate,1962,4.344
Antigua and Barbuda,Imports of goods and services,1962,
Antigua and Barbuda,"Industry, value added",1962,
Antigua and Barbuda,Customers local visits (per year),1962,62.59853659
Antigua and Barbuda,Customers density,1962,127.9795455
Antigua and Barbuda,"Services, etc., value added",1962,
Antigua and Barbuda,New products value added,1967,
Antigua and Barbuda,Domestic credit provided,1967,
Antigua and Barbuda,Exports of goods and services,1967,
Antigua and Barbuda,Parents rate,1967,4.042
Antigua and Barbuda,Imports of goods and services,1967,
Antigua and Barbuda,"Industry, value added",1967,
Antigua and Barbuda,Customers local visits (per year),1967,64.48807317
Antigua and Barbuda,Customers density,1967,140.9136364
Antigua and Barbuda,"Services, etc., value added",1967,
Antigua and Barbuda,New products value added,1972,
Antigua and Barbuda,Domestic credit provided,1972,
Antigua and Barbuda,Exports of goods and services,1972,
Antigua and Barbuda,Parents rate,1972,3.328
Antigua and Barbuda,Imports of goods and services,1972,
Antigua and Barbuda,"Industry, value added",1972,
Antigua and Barbuda,Customers local visits (per year),1972,66.18826829
Antigua and Barbuda,Customers density,1972,152.7386364
Antigua and Barbuda,"Services, etc., value added",1972,
Antigua and Barbuda,New products value added,1977,10.96339235
Antigua and Barbuda,Domestic credit provided,1977,62.64180525
Antigua and Barbuda,Exports of goods and services,1977,47.70143905
Antigua and Barbuda,Parents rate,1977,2.358
Antigua and Barbuda,Imports of goods and services,1977,52.62892659
Antigua and Barbuda,"Industry, value added",1977,15.28574129
Antigua and Barbuda,Customers local visits (per year),1977,67.7307561
Antigua and Barbuda,Customers density,1977,159.5977273
Antigua and Barbuda,"Services, etc., value added",1977,73.75086636
Antigua and Barbuda,New products value added,1982,6.211767674
Antigua and Barbuda,Domestic credit provided,1982,53.10951218
Antigua and Barbuda,Exports of goods and services,1982,67.82291191
Antigua and Barbuda,Parents rate,1982,2.096
Antigua and Barbuda,Imports of goods and services,1982,107.1361452
Antigua and Barbuda,"Industry, value added",1982,14.60869017
Antigua and Barbuda,Customers local visits (per year),1982,69.14092683
Antigua and Barbuda,Customers density,1982,156.7045455
Antigua and Barbuda,"Services, etc., value added",1982,79.17954216
Antigua and Barbuda,New products value added,1987,4.519128299
Antigua and Barbuda,Domestic credit provided,1987,60.5281326
Antigua and Barbuda,Exports of goods and services,1987,79.59611108
Antigua and Barbuda,Parents rate,1987,2.07
Antigua and Barbuda,Imports of goods and services,1987,103.4170244
Antigua and Barbuda,"Industry, value added",1987,20.31291025
Antigua and Barbuda,Customers local visits (per year),1987,70.43263415
Antigua and Barbuda,Customers density,1987,144.2818182
Antigua and Barbuda,"Services, etc., value added",1987,75.16796145
Antigua and Barbuda,New products value added,1992,4.230733676
Antigua and Barbuda,Domestic credit provided,1992,65.31752552
Antigua and Barbuda,Exports of goods and services,1992,96.10718781
Antigua and Barbuda,Parents rate,1992,2.096
Antigua and Barbuda,Imports of goods and services,1992,93.29814012
Antigua and Barbuda,"Industry, value added",1992,19.38803809
Antigua and Barbuda,Customers local visits (per year),1992,71.63470732
Antigua and Barbuda,Customers density,1992,144.1681818
Antigua and Barbuda,"Services, etc., value added",1992,76.38122824
Antigua and Barbuda,New products value added,1997,4.106819874
Antigua and Barbuda,Domestic credit provided,1997,81.42173595
Antigua and Barbuda,Exports of goods and services,1997,76.44864589
Antigua and Barbuda,Parents rate,1997,2.281
Antigua and Barbuda,Imports of goods and services,1997,82.48467041
Antigua and Barbuda,"Industry, value added",1997,18.1698661
Antigua and Barbuda,Customers local visits (per year),1997,72.75756098
Antigua and Barbuda,Customers density,1997,164.1636364
Antigua and Barbuda,"Services, etc., value added",1997,77.72331403
Antigua and Barbuda,New products value added,2002,1.999795906
Antigua and Barbuda,Domestic credit provided,2002,84.71397196
Antigua and Barbuda,Exports of goods and services,2002,53.31459905
Antigua and Barbuda,Parents rate,2002,2.288
Antigua and Barbuda,Imports of goods and services,2002,59.11804216
Antigua and Barbuda,"Industry, value added",2002,15.07375111
Antigua and Barbuda,Customers local visits (per year),2002,73.81543902
Antigua and Barbuda,Customers density,2002,181.8863636
Antigua and Barbuda,"Services, etc., value added",2002,82.92644772
Antigua and Barbuda,New products value added,2007,1.936580217
Antigua and Barbuda,Domestic credit provided,2007,77.70167634
Antigua and Barbuda,Exports of goods and services,2007,45.08725069
Antigua and Barbuda,Parents rate,2007,2.183
Antigua and Barbuda,Imports of goods and services,2007,72.31871354
Antigua and Barbuda,"Industry, value added",2007,21.39324501
Antigua and Barbuda,Customers local visits (per year),2007,74.80321951
Antigua and Barbuda,Customers density,2007,191.8113636
Antigua and Barbuda,"Services, etc., value added",2007,76.67017818
Arab World,New products value added,1962,
Arab World,Domestic credit provided,1962,18.16868954
Arab World,Exports of goods and services,1962,
Arab World,Parents rate,1962,6.964453716
Arab World,Imports of goods and services,1962,
Arab World,"Industry, value added",1962,
Arab World,Customers local visits (per year),1962,48.0086029
Arab World,Customers density,1962,7.168473853
Arab World,"Services, etc., value added",1962,
Arab World,New products value added,1967,
Arab World,Domestic credit provided,1967,31.2728489
Arab World,Exports of goods and services,1967,
Arab World,Parents rate,1967,6.926259659
Arab World,Imports of goods and services,1967,
Arab World,"Industry, value added",1967,
Arab World,Customers local visits (per year),1967,50.88569671
Arab World,Customers density,1967,8.238918643
Arab World,"Services, etc., value added",1967,
Arab World,New products value added,1972,
Arab World,Domestic credit provided,1972,26.36258179
Arab World,Exports of goods and services,1972,41.22114364
Arab World,Parents rate,1972,6.694114851
Arab World,Imports of goods and services,1972,21.13820291
Arab World,"Industry, value added",1972,
Arab World,Customers local visits (per year),1972,53.58702135
Arab World,Customers density,1972,9.453474673
Arab World,"Services, etc., value added",1972,
Arab World,New products value added,1977,
Arab World,Domestic credit provided,1977,4.92029461
Arab World,Exports of goods and services,1977,43.0075608
Arab World,Parents rate,1977,6.484943247
Arab World,Imports of goods and services,1977,36.35095157
Arab World,"Industry, value added",1977,
Arab World,Customers local visits (per year),1977,56.66119189
Arab World,Customers density,1977,10.96019294
Arab World,"Services, etc., value added",1977,
Arab World,New products value added,1982,
Arab World,Domestic credit provided,1982,7.785458156
Arab World,Exports of goods and services,1982,39.53030998
Arab World,Parents rate,1982,6.178058915
Arab World,Imports of goods and services,1982,43.10845532
Arab World,"Industry, value added",1982,
Arab World,Customers local visits (per year),1982,59.79953239
Arab World,Customers density,1982,12.86278903
Arab World,"Services, etc., value added",1982,
Arab World,New products value added,1987,
Arab World,Domestic credit provided,1987,51.15100831
Arab World,Exports of goods and services,1987,27.6784972
Arab World,Parents rate,1987,5.628216376
Arab World,Imports of goods and services,1987,31.23765445
Arab World,"Industry, value added",1987,
Arab World,Customers local visits (per year),1987,63.00928507
Arab World,Customers density,1987,14.88986729
