#,Product Categories,Product Name, Price MXN , Price USD ,Brand,Colour,Product Label,Stock,Sells,Projected Restocking,Purchase Rate
29,Consumer & Electronics,ROKU," $1,100.00 ", $59.14 ,MICROSOFT,BLACK,CEMIBLROK,58,166,110.9,286%
31,Drugstore,VICODIN, $799.00 , $42.96 ,PFIZER,N/A,DRPFN/VIC,123,153,36.15,124%
32,Drugstore,VIAGRA, $469.00 , $25.22 ,PFIZER,N/A,DRPFN/VIA,86,150,68.3,174%
33,Drugstore,GENOTROPIN," $4,071.00 ", $218.87 ,PFIZER,N/A,DRPFN/GEN,65,91,29.25,140%
34,Drugstore,ELIGARD," $8,049.00 ", $432.74 ,PFIZER,N/A,DRPFN/ELI,209,43,0,21%
35,Drugstore,BENEFIX," $27,316.00 "," $1,468.60 ",PFIZER,N/A,DRPFN/BEN,124,15,0,12%
36,Drugstore,MAMISAN, $500.00 , $26.88 ,PFIZER,N/A,DRPFN/MAM,218,20,0,9%
37,Drugstore,NEUROTIN," $1,096.00 ", $58.92 ,PFIZER,N/A,DRPFN/NEU,171,58,0,34%
38,Drugstore,XALKORI," $99,430.00 "," $5,345.70 ",PFIZER,N/A,DRPFN/XAL,170,114,0,67%
39,Drugstore,CELEBREX," $10,486.00 ", $563.76 ,PFIZER,N/A,DRPFN/CEL,159,105,0,66%
40,Drugstore,SIMPONI," $29,500.00 "," $1,586.02 ",PFIZER,N/A,DRPFN/SIM,151,104,0,69%
41,Drugstore,VICODIN, $767.04 , $41.24 ,SHERING-PLOUGH,N/A,DRSHN/VIC,192,128,0,67%
42,Drugstore,VIAGRA, $450.24 , $24.21 ,SHERING-PLOUGH,N/A,DRSHN/VIA,97,50,0,52%
43,Drugstore,GENOTROPIN," $3,908.16 ", $210.12 ,SHERING-PLOUGH,N/A,DRSHN/GEN,240,3,0,1%
44,Drugstore,ELIGARD," $7,727.04 ", $415.43 ,SHERING-PLOUGH,N/A,DRSHN/ELI,199,11,0,6%
45,Drugstore,BENEFIX," $26,223.36 "," $1,409.86 ",SHERING-PLOUGH,N/A,DRSHN/BEN,71,46,0,65%
46,Drugstore,MAMISAN, $480.00 , $25.81 ,SHERING-PLOUGH,N/A,DRSHN/MAM,129,36,0,28%
47,Drugstore,NEUROTIN," $1,052.16 ", $56.57 ,SHERING-PLOUGH,N/A,DRSHN/NEU,207,41,0,20%
48,Drugstore,XALKORI," $95,452.80 "," $5,131.87 ",SHERING-PLOUGH,N/A,DRSHN/XAL,168,119,0,71%
49,Drugstore,CELEBREX," $10,066.56 ", $541.21 ,SHERING-PLOUGH,N/A,DRSHN/CEL,247,24,0,10%
50,Drugstore,SIMPONI," $28,320.00 "," $1,522.58 ",JHONSON,N/A,DRJHN/SIM,83,72,0,87%
51,Drugstore,VICODIN, $982.77 , $52.84 ,JHONSON,N/A,DRJHN/VIC,113,146,38.65,129%
52,Drugstore,VIAGRA, $576.87 , $31.01 ,JHONSON,N/A,DRJHN/VIA,124,67,0,54%
53,Drugstore,GENOTROPIN," $5,007.33 ", $269.21 ,JHONSON,N/A,DRJHN/GEN,82,40,0,49%
54,Drugstore,ELIGARD," $9,900.27 ", $532.27 ,JHONSON,N/A,DRJHN/ELI,201,27,0,13%
55,Drugstore,BENEFIX," $33,598.68 "," $1,806.38 ",JHONSON,N/A,DRJHN/BEN,158,86,0,54%
56,Drugstore,MAMISAN, $615.00 , $33.06 ,JHONSON,N/A,DRJHN/MAM,106,102,0,96%
57,Drugstore,NEUROTIN," $1,348.08 ", $72.48 ,JHONSON,N/A,DRJHN/NEU,163,162,0,99%
58,Drugstore,XALKORI," $122,298.90 "," $6,575.21 ",JHONSON,N/A,DRJHN/XAL,66,192,129.3,291%
59,Drugstore,CELEBREX," $12,897.78 ", $693.43 ,JHONSON,N/A,DRJHN/CEL,190,30,0,16%
60,Computers,3AIR," $25,000.00 "," $1,344.09 ",APPLE,WHITE,COAPWH3AI,170,143,0,84%
61,Computers,M2AIR," $27,000.00 "," $1,451.61 ",APPLE,WHITE,COAPWHM2A,61,86,28.05,141%
62,Computers,PROMAC," $30,000.00 "," $1,612.90 ",APPLE,WHITE,COAPWHPRO,222,91,0,41%
63,Computers,2AIR," $28,000.00 "," $1,505.38 ",APPLE,WHITE,COAPWH2AI,218,62,0,28%
64,Computers,LIGZ," $16,000.00 ", $860.22 ,LEONOVO,PINK,COLEPILIG,186,150,0,81%
65,Computers,THINKPAD," $21,000.00 "," $1,129.03 ",LEONOVO,BLUE,COLEBLTHI,141,78,0,55%
66,Computers,TUFX506," $6,500.00 ", $349.46 ,ASUS,GREY,COASGRTUF,71,20,0,28%
67,Computers,SENDBOOK," $13,000.00 ", $698.92 ,ASUS,BLUE,COASBLSEN,130,15,0,12%
68,Computers,FLYBOOK," $14,500.00 ", $779.57 ,ASUS,PINK,COASPIFLY,248,62,0,25%
69,Computers,E4010," $15,000.00 ", $806.45 ,ASUS,RED,COASREE40,244,51,0,21%
70,Computers,VIVOBOOK," $16,000.00 ", $860.22 ,ASUS,BLACK,COASBLVIV,153,98,0,64%
71,Computers,8SURFACE," $42,000.00 "," $2,258.06 ",MICROSOFT,WHITE,COMIWH8SU,202,15,0,7%
72,Computers,PROSURFACE," $61,000.00 "," $3,279.57 ",MICROSOFT,WHITE,COMIWHPRO,228,72,0,32%
73,Computers,XSURFACE," $30,000.00 "," $1,612.90 ",MICROSOFT,BLACK,COMIBLXSU,189,138,0,73%
74,Computers,THINSURFACE," $21,000.00 "," $1,129.03 ",MICROSOFT,GREY,COMIGRTHI,88,76,0,86%
75,Computers,STUDIOSURFACE," $25,000.00 "," $1,344.09 ",MICROSOFT,GREY,COMIGRSTU,60,152,95,253%
76,Computers,DYNABOOK," $13,000.00 ", $698.92 ,TOSHIBA,BLACK,COTOBLDYN,222,165,0,74%
77,Computers,SATELLITE," $7,000.00 ", $376.34 ,TOSHIBA,BLACK,COTOBLSAT,230,13,0,6%
78,Computers,TECRABOOK," $12,000.00 ", $645.16 ,TOSHIBA,BLACK,COTOBLTEC,50,39,0,78%
79,Computers,MG09A," $19,988.00 "," $1,074.62 ",TOSHIBA,BLACK,COTOBLMG0,207,32,0,15%
80,Computers,PORTEGE," $15,000.00 ", $806.45 ,TOSHIBA,BLACK,COTOBLPOR,193,114,0,59%
81,Computers,HW10," $30,000.00 "," $1,612.90 ",HUAWEI,GREY,COHUGRHW1,133,68,0,51%
82,Computers,HW11," $27,000.00 "," $1,451.61 ",HUAWEI,GREY,COHUGRHW1,159,199,47.95,125%
83,Computers,ALIENWARE," $45,000.00 "," $2,419.35 ",DELL,BLACK,CODEBLALI,121,196,81.05,162%
84,Computers,INSPIRON," $25,000.00 "," $1,344.09 ",DELL,GREY,CODEGRINS,66,11,0,17%
85,Computers,ALLINONE," $27,000.00 "," $1,451.61 ",DELL,GREY,CODEGRALL,124,59,0,48%
86,Computers,LATITUDE," $22,000.00 "," $1,182.80 ",DELL,GREY,CODEGRLAT,63,113,53.15,179%
87,Computers,GAMER," $45,000.00 "," $2,419.35 ",DELL,BLACK,CODEBLGAM,53,2,0,4%
88,Computers,XPS," $27,000.00 "," $1,451.61 ",DELL,BLACK,CODEBLXPS,150,65,0,43%
89,Computers,PCDELL," $20,000.00 "," $1,075.27 ",DELL,BLACK,CODEBLPCD,201,141,0,70%
90,Cloths,JEAN," $3,000.00 ", $161.29 ,STUDIOF,BLUE,CLSTBLJEA,178,83,0,47%
91,Cloths,SKINJEAN," $3,200.00 ", $172.04 ,STUDIOF,NAVY BLUE,CLSTNASKI,138,194,62.9,141%
92,Cloths,SHIRT," $1,000.00 ", $53.76 ,STUDIOF,RED,CLSTRESHI,216,58,0,27%
93,Cloths,DRESS," $2,000.00 ", $107.53 ,STUDIOF,GREEN,CLSTGRDRE,199,123,0,62%
94,Cloths,T-SHIRT," $1,500.00 ", $80.65 ,CALVIN KLEIN,WHITE,CLCAWHT-S,228,105,0,46%
95,Cloths,JEAN," $1,200.00 ", $64.52 ,CALVIN KLEIN,BLACK,CLCABLJEA,176,8,0,5%
96,Cloths,SHIRT," $1,200.00 ", $64.52 ,CALVIN KLEIN,BLACK,CLCABLSHI,158,180,29.9,114%
97,Cloths,COAT," $2,000.00 ", $107.53 ,CALVIN KLEIN,NAVY BLUE,CLCANACOA,169,174,13.45,103%
98,Cloths,COAT," $2,500.00 ", $134.41 ,TOMMY HILFIGER,BLUE,CLTOBLCOA,133,118,0,89%
99,Cloths,JEAN," $2,600.00 ", $139.78 ,TOMMY HILFIGER,BLUE,CLTOBLJEA,66,167,104.3,253%
100,Cloths,SHIRT, $800.00 , $43.01 ,TOMMY HILFIGER,RED,CLTORESHI,84,164,84.2,195%
101,Cloths,T-SHIRT," $1,100.00 ", $59.14 ,TOMMY HILFIGER,BLUE,CLTOBLT-S,168,26,0,15%
102,Cloths,SHIRT, $300.00 , $16.13 ,ZARA,RED,CLZARESHI,105,196,96.25,187%
103,Cloths,T-SHIRT," $1,000.00 ", $53.76 ,ZARA,RED,CLZARET-S,89,172,87.45,193%
104,Cloths,JEAN," $1,200.00 ", $64.52 ,ZARA,SMOKE,CLZASMJEA,224,121,0,54%
105,Cloths,COAT," $2,100.00 ", $112.90 ,ZARA,BLUE,CLZABLCOA,198,145,0,73%
106,Cloths,T-SHIRT, $500.00 , $26.88 ,H&M,GREEN,CLH&GRT-S,113,190,82.65,168%
107,Cloths,SHIRT, $200.00 , $10.75 ,H&M,BLUE,CLH&BLSHI,92,27,0,29%
108,Cloths,DRESS, $300.00 , $16.13 ,H&M,YELLOW,CLH&YEDRE,143,124,0,87%
109,Cloths,JEAN, $500.00 , $26.88 ,H&M,BLUE,CLH&BLJEA,148,138,0,93%
110,Cloths,COAT, $900.00 , $48.39 ,H&M,BLACK,CLH&BLCOA,171,126,0,74%
111,Cloths,T-SHIRT," $3,000.00 ", $161.29 ,RALPH LAUREN,GREEN,CLRAGRT-S,98,74,0,76%
112,Cloths,SHIRT," $2,000.00 ", $107.53 ,RALPH LAUREN,RED,CLRARESHI,201,162,0,81%
113,Cloths,JEAN," $1,800.00 ", $96.77 ,RALPH LAUREN,GREEN,CLRAGRJEA,187,111,0,59%
114,Cloths,BOXER, $500.00 , $26.88 ,RALPH LAUREN,GREEN,CLRAGRBOX,226,48,0,21%
115,Cloths,COAT," $2,000.00 ", $107.53 ,RALPH LAUREN,BLUE,CLRABLCOA,132,89,0,67%
116,Cloths,T-SHIRT," $1,500.00 ", $80.65 ,BANANA REPUBLIC,YELLOW,CLBAYET-S,136,20,0,15%
117,Cloths,SHIRT," $1,200.00 ", $64.52 ,BANANA REPUBLIC,YELLOW,CLBAYESHI,99,2,0,2%
118,Cloths,COAT," $1,200.00 ", $64.52 ,BANANA REPUBLIC,PINK,CLBAPICOA,102,94,0,92%
119,Cloths,JEAN," $2,000.00 ", $107.53 ,BANANA REPUBLIC,BLUE,CLBABLJEA,233,76,0,33%
120,Gamming,XSERIES," $14,999.00 ", $806.40 ,MICROSOFT,BLACK,GAMIBLXSE,187,105,0,56%
121,Gamming,SSERIES," $5,999.00 ", $322.53 ,MICROSOFT,WHITE,GAMIWHSSE,176,179,11.8,102%
122,Gamming,HEADSET," $1,200.00 ", $64.52 ,MICROSOFT,BLACK,GAMIBLHEA,181,181,9.05,100%
123,Gamming,CONTROLLER," $1,200.00 ", $64.52 ,MICROSOFT,BLACK,GAMIBLCON,163,198,43.15,121%
124,Gamming,CONTROLLER," $1,200.00 ", $64.52 ,MICROSOFT,WHITE,GAMIWHCON,217,114,0,53%
125,Gamming,CONTROLLER," $1,200.00 ", $64.52 ,MICROSOFT,BLUE,GAMIBLCON,225,14,0,6%
126,Gamming,SCONTROLLER," $1,500.00 ", $80.65 ,MICROSOFT,GREEN,GAMIGRSCO,97,56,0,58%
127,Gamming,SHEADSET," $1,499.00 ", $80.59 ,MICROSOFT,BLACK,GAMIBLSHE,153,9,0,6%
128,Gamming,FIFA23," $1,299.00 ", $69.84 ,MICROSOFT,N/A,GAMIN/FIF,109,48,0,44%
129,Gamming,MK11, $999.00 , $53.71 ,MICROSOFT,N/A,GAMIN/MK1,54,112,60.7,207%
130,Gamming,HEADSET," $1,200.00 ", $64.52 ,SONY,WHITE,GASOWHHEA,226,170,0,75%
131,Gamming,CONTROLLER," $1,200.00 ", $64.52 ,SONY,WHITE,GASOWHCON,242,117,0,48%
132,Gamming,CONTROLLER," $1,200.00 ", $64.52 ,SONY,BLUE,GASOBLCON,203,80,0,39%
133,Gamming,CONTROLLER," $1,200.00 ", $64.52 ,SONY,PINK,GASOPICON,222,112,0,50%
134,Gamming,SCONTROLLER," $1,500.00 ", $80.65 ,SONY,RED,GASORESCO,208,27,0,13%
135,Gamming,SHEADSET," $1,499.00 ", $80.59 ,SONY,BLACK,GASOBLSHE,232,2,0,1%
136,Gamming,FIFA23," $1,299.00 ", $69.84 ,SONY,N/A,GASON/FIF,58,154,98.9,266%
137,Gamming,MK11, $999.00 , $53.71 ,SONY,N/A,GASON/MK1,152,151,0,99%
138,Gamming,PS5," $14,999.00 ", $806.40 ,SONY,WHITE,GASOWHPS5,175,180,13.75,103%
139,Gamming,PS4," $3,999.00 ", $215.00 ,SONY,BLACK,GASOBLPS4,173,66,0,38%
140,Gamming,HEADSET," $1,200.00 ", $64.52 ,NINTENDO,RED,GANIREHEA,219,115,0,53%
141,Gamming,CONTROLLER, $999.00 , $53.71 ,NINTENDO,RED,GANIRECON,66,36,0,55%
142,Gamming,CONTROLLER, $999.00 , $53.71 ,NINTENDO,BLUE,GANIBLCON,105,10,0,10%
143,Gamming,CONTROLLER, $999.00 , $53.71 ,NINTENDO,WHITE,GANIWHCON,243,80,0,33%
144,Gamming,SCONTROLLER," $1,199.00 ", $64.46 ,NINTENDO,BLACK,GANIBLSCO,190,140,0,74%
145,Gamming,SHEADSET," $1,499.00 ", $80.59 ,NINTENDO,RED,GANIRESHE,85,41,0,48%
146,Gamming,FIFA23," $1,299.00 ", $69.84 ,NINTENDO,N/A,GANIN/FIF,108,131,28.4,121%
147,Gamming,MK11, $999.00 , $53.71 ,NINTENDO,N/A,GANIN/MK1,166,183,25.3,110%
148,Gamming,SWITCH," $11,999.00 ", $645.11 ,NINTENDO,WHITE,GANIWHSWI,246,5,0,2%
149,Gamming,DSNINTENDO," $9,999.00 ", $537.58 ,NINTENDO,RED,GANIREDSN,131,189,64.55,144%
153,Kitchen,AIR FRYER," $4,000.00 ", $215.05 ,OSTER,RED,KIOSREAIR,98,198,104.9,202%
159,Kitchen,BLENDER," $1,500.00 ", $80.65 ,OSTER,BLACK,KIOSBLBLE,148,80,0,54%
160,Kitchen,BLENDER," $2,000.00 ", $107.53 ,BLACK & DECKER,BLACK,KIBLBLBLE,212,41,0,19%
161,Kitchen,COFFEE MAKER," $4,000.00 ", $215.05 ,BLACK & DECKER,BLACK,KIBLBLCOF,139,176,43.95,127%
156,Kitchen,DISHWASHER," $4,500.00 ", $241.94 ,MABE,WHITE,KIMAWHDIS,83,101,22.15,122%
169,Kitchen,DISHWASHER," $6,000.00 ", $322.58 ,ACROS,GREY,KIACGRDIS,91,61,0,67%
172,Kitchen,DISHWASHER," $5,050.00 ", $271.51 ,WHIRPOOL,WHITE,KIWHWHDIS,108,45,0,42%
179,Kitchen,DISHWASHER," $12,000.00 ", $645.16 ,GENERAL ELECTRIC,WHITE,KIGEWHDIS,80,12,0,15%
154,Kitchen,ELECTRIC OVEN," $4,900.00 ", $263.44 ,OSTER,GREY,KIOSGRELE,115,146,36.75,127%
167,Kitchen,ELECTRIC OVEN," $3,000.00 ", $161.29 ,ACROS,GREY,KIACGRELE,170,153,0,90%
173,Kitchen,ELECTRIC OVEN," $5,000.00 ", $268.82 ,WHIRPOOL,GREY,KIWHGRELE,84,178,98.2,212%
177,Kitchen,ELECTRIC OVEN," $4,900.00 ", $263.44 ,GENERAL ELECTRIC,WHITE,KIGEWHELE,111,95,0,86%
155,Kitchen,FRIDGE," $20,000.00 "," $1,075.27 ",MABE,WHITE,KIMAWHFRI,158,170,19.9,108%
165,Kitchen,FRIDGE," $15,000.00 ", $806.45 ,ACROS,GREY,KIACGRFRI,86,63,0,73%
170,Kitchen,FRIDGE," $14,000.00 ", $752.69 ,WHIRPOOL,GREY,KIWHGRFRI,113,92,0,81%
178,Kitchen,FRIDGE," $13,000.00 ", $698.92 ,GENERAL ELECTRIC,GREY,KIGEGRFRI,166,147,0,89%
150,Kitchen,MICROWAVE OVEN," $1,600.00 ", $86.02 ,OSTER,BLACK,KIOSBLMIC,66,28,0,42%
157,Kitchen,MICROWAVE OVEN," $2,500.00 ", $134.41 ,MABE,WHITE,KIMAWHMIC,144,192,55.2,133%
168,Kitchen,MICROWAVE OVEN," $3,000.00 ", $161.29 ,ACROS,GREY,KIACGRMIC,56,39,0,70%
174,Kitchen,MICROWAVE OVEN," $5,000.00 ", $268.82 ,WHIRPOOL,GREY,KIWHGRMIC,186,141,0,76%
176,Kitchen,MICROWAVE OVEN," $18,400.00 ", $989.25 ,GENERAL ELECTRIC,WHITE,KIGEWHMIC,202,108,0,53%
164,Kitchen,MIXER," $3,000.00 ", $161.29 ,BLACK & DECKER,BLACK,KIBLBLMIX,56,175,121.8,313%
163,Kitchen,RICE COOKER," $2,500.00 ", $134.41 ,BLACK & DECKER,BLACK,KIBLBLRIC,144,150,13.2,104%
151,Kitchen,ROASTER," $1,500.00 ", $80.65 ,OSTER,BLACK,KIOSBLROA,170,178,16.5,105%
162,Kitchen,ROASTER," $1,000.00 ", $53.76 ,BLACK & DECKER,BLACK,KIBLBLROA,193,156,0,81%
152,Kitchen,STOVE," $6,500.00 ", $349.46 ,OSTER,GREY,KIOSGRSTO,187,181,0,97%
158,Kitchen,STOVE," $7,000.00 ", $376.34 ,MABE,WHITE,KIMAWHSTO,122,94,0,77%
166,Kitchen,STOVE," $12,000.00 ", $645.16 ,ACROS,GREY,KIACGRSTO,76,42,0,55%
171,Kitchen,STOVE," $14,900.00 ", $801.08 ,WHIRPOOL,GREY,KIWHGRSTO,168,47,0,28%
175,Kitchen,STOVE," $15,000.00 ", $806.45 ,GENERAL ELECTRIC,WHITE,KIGEWHSTO,73,161,91.65,221%
180,Drinks,ROSALIA, $21.00 , $1.13 ,COCACOLA COMPANY,N/A,DRCON/ROS,86,173,91.3,201%
181,Drinks,LIGHT, $21.00 , $1.13 ,COCACOLA COMPANY,N/A,DRCON/LIG,57,158,103.85,277%
182,Drinks,ZERO, $22.00 , $1.18 ,COCACOLA COMPANY,N/A,DRCON/ZER,146,84,0,58%
183,Drinks,ORIGINAL, $20.00 , $1.08 ,COCACOLA COMPANY,N/A,DRCON/ORI,156,160,11.8,103%
184,Drinks,MILK, $30.00 , $1.61 ,COCACOLA COMPANY,N/A,DRCON/MIL,161,131,0,81%
185,Drinks,LMILK, $35.00 , $1.88 ,COCACOLA COMPANY,N/A,DRCON/LMI,224,112,0,50%
186,Drinks,DLMILK, $34.00 , $1.83 ,COCACOLA COMPANY,N/A,DRCON/DLM,122,120,0,98%
187,Drinks,FMILK, $35.00 , $1.88 ,COCACOLA COMPANY,N/A,DRCON/FMI,54,33,0,61%
188,Drinks,MINERAL WATER, $23.00 , $1.24 ,COCACOLA COMPANY,N/A,DRCON/MIN,227,181,0,80%
189,Drinks,CIEL WATER, $49.00 , $2.63 ,COCACOLA COMPANY,N/A,DRCON/CIE,182,181,0,99%
190,Drinks,400ML, $32.00 , $1.72 ,PERRIER,N/A,DRPEN/400,50,185,137.5,370%
191,Drinks,750ML, $45.00 , $2.42 ,PERRIER,N/A,DRPEN/750,119,51,0,43%
192,Drinks,LIGHT, $19.00 , $1.02 ,PEPSI,N/A,DRPEN/LIG,161,103,0,64%
193,Drinks,ORIGINAL, $18.00 , $0.97 ,PEPSI,N/A,DRPEN/ORI,179,70,0,39%
194,Drinks,FANTA, $18.00 , $0.97 ,PEPSI,N/A,DRPEN/FAN,136,87,0,64%
195,Drinks,7UP, $18.00 , $0.97 ,PEPSI,N/A,DRPEN/7UP,101,61,0,60%
196,Drinks,CORONA, $22.00 , $1.18 ,MOCTEZUMA,N/A,DRMON/COR,165,14,0,8%
197,Drinks,STELLA, $35.00 , $1.88 ,MOCTEZUMA,N/A,DRMON/STE,144,68,0,47%
198,Drinks,VICTORIA, $30.00 , $1.61 ,MOCTEZUMA,N/A,DRMON/VIC,210,19,0,9%
199,Drinks,MODELO, $31.00 , $1.67 ,MOCTEZUMA,N/A,DRMON/MOD,168,65,0,39%
200,Drinks,1LORANGE, $30.00 , $1.61 ,DEL VALLE,N/A,DRDEN/1LO,131,4,0,3%
201,Drinks,1LPINEAPPLE, $30.00 , $1.61 ,DEL VALLE,N/A,DRDEN/1LP,144,93,0,65%
202,Drinks,1LAPPLE, $30.00 , $1.61 ,DEL VALLE,N/A,DRDEN/1LA,238,14,0,6%
203,Drinks,1LYAPPLE, $30.00 , $1.61 ,DEL VALLE,N/A,DRDEN/1LY,125,76,0,61%
204,Drinks,1LGRAPE, $30.00 , $1.61 ,DEL VALLE,N/A,DRDEN/1LG,244,161,0,66%
205,Drinks,1LORANGE, $33.00 , $1.77 ,JUMEX,N/A,DRJUN/1LO,161,110,0,68%
206,Drinks,1LPINEAPPLE, $33.00 , $1.77 ,JUMEX,N/A,DRJUN/1LP,129,122,0,95%
207,Drinks,1LAPPLE, $33.00 , $1.77 ,JUMEX,N/A,DRJUN/1LA,52,6,0,12%
208,Drinks,1LYAPPLE, $33.00 , $1.77 ,JUMEX,N/A,DRJUN/1LY,148,60,0,41%
209,Drinks,1LGRAPE, $33.00 , $1.77 ,JUMEX,N/A,DRJUN/1LG,163,57,0,35%
210,Food,12EGGS, $44.00 , $2.37 ,BACHOCO,N/A,FOBAN/12E,102,155,58.1,152%
211,Food,30EGGS, $93.00 , $5.00 ,BACHOCO,N/A,FOBAN/30E,235,114,0,49%
212,Food,12REGGS, $18.00 , $0.97 ,BACHOCO,N/A,FOBAN/12R,216,54,0,25%
213,Food,12EGGS, $35.00 , $1.88 ,SAN JUAN,N/A,FOSAN/12E,103,140,42.15,136%
214,Food,30EGGS, $75.00 , $4.03 ,SAN JUAN,N/A,FOSAN/30E,148,61,0,41%
215,Food,12REGGS, $38.00 , $2.04 ,SAN JUAN,N/A,FOSAN/12R,204,22,0,11%
216,Food,30REGGS, $81.00 , $4.35 ,SAN JUAN,N/A,FOSAN/30R,219,52,0,24%
217,Food,30REGGS, $99.00 , $5.32 ,BACHOCO,N/A,FOBAN/30R,114,79,0,69%
218,Food,12COLCAP, $120.00 , $6.45 ,STARBUCKS,N/A,FOSTN/12C,164,138,0,84%
219,Food,12SPECAP, $150.00 , $8.06 ,STARBUCKS,N/A,FOSTN/12S,155,103,0,66%
220,Food,MATTEA, $300.00 , $16.13 ,STARBUCKS,N/A,FOSTN/MAT,81,40,0,49%
221,Food,CHOCOMILK, $100.00 , $5.38 ,NESTLE,N/A,FONEN/CHO,68,70,5.4,103%
222,Food,1LYOGURT, $30.00 , $1.61 ,NESTLE,N/A,FONEN/1LY,189,117,0,62%
223,Food,25YOGURT, $9.50 , $0.51 ,NESTLE,N/A,FONEN/25Y,187,32,0,17%
224,Food,SNESCAFE, $70.00 , $3.76 ,NESTLE,N/A,FONEN/SNE,169,159,0,94%
225,Food,GNESCAFE, $120.00 , $6.45 ,NESTLE,N/A,FONEN/GNE,56,30,0,54%
226,Food,LECHERA, $35.00 , $1.88 ,NESTLE,N/A,FONEN/LEC,72,165,96.6,229%
227,Food,SNIDO, $35.00 , $1.88 ,NESTLE,N/A,FONEN/SNI,168,173,13.4,103%
228,Food,GNIDO, $250.00 , $13.44 ,NESTLE,N/A,FONEN/GNI,101,33,0,33%
229,Food,KELLOGS, $50.00 , $2.69 ,NESTLE,N/A,FONEN/KEL,121,69,0,57%
230,Food,COLCOFFEE, $250.00 , $13.44 ,STARBUCKS,N/A,FOSTN/COL,139,120,0,86%
231,Food,CHICOFFEE, $300.00 , $16.13 ,STARBUCKS,N/A,FOSTN/CHI,217,31,0,14%
